dataset,method,price,fit_seconds,utility_per_block,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,selected,capacity
conversation,global,0.01,3.0583993066102266e-05,0.007111355414695116,4012,4012,112010,321545.708,227.27297067372652,1313,0.035818230515132575,,
conversation,group,0.01,8.645901107229292e-05,0.04576814739755379,5415,5415,112010,28850.981,20.39227393052698,64,0.04834389786626194,,
conversation,depth,0.01,7.858301978558302e-05,0.04609293813052406,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,group_depth,0.01,0.00026766600785776973,0.044682172573877334,5563,5563,112010,55814.985,39.4508063191423,167,0.04966520846353004,,
conversation,unconstrained,0.01,3.745799767784774e-05,0.04441862467636818,5449,5499,112010,47366.985,33.479642629245866,135,0.04864744219266137,,
conversation,selected,0.01,0.0,0.044682172573877334,5563,5563,112010,55814.985,39.4508063191423,167,0.04966520846353004,group_depth,
conversation,global,0.03,2.9583985451608896e-05,0.0,0,0,112010,0.0,0.0,0,0.0,,
conversation,group,0.03,6.849999772384763e-05,0.0458406392286403,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,depth,0.03,7.291598012670875e-05,0.0458406392286403,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,group_depth,0.03,0.00026420800713822246,0.0458406392286403,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,unconstrained,0.03,2.6249996153637767e-05,0.0458406392286403,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,selected,0.03,0.0,0.0458406392286403,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,depth,
conversation,global,0.1,3.316599759273231e-05,0.0,0,0,112010,0.0,0.0,0,0.0,,
conversation,group,0.1,8.754100417718291e-05,0.044957593072047136,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,depth,0.1,8.754100417718291e-05,0.044957593072047136,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,group_depth,0.1,0.00025754200760275126,0.044957593072047136,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,unconstrained,0.1,2.7834001230075955e-05,0.044957593072047136,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,selected,0.1,0.0,0.044957593072047136,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,depth,
conversation,global,0.3,3.333299537189305e-05,0.0,0,0,112010,0.0,0.0,0,0.0,,
conversation,group,0.3,8.704100036993623e-05,0.042434604053209535,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,depth,0.3,8.179200813174248e-05,0.042434604053209535,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,group_depth,0.3,0.00025224999990314245,0.042434604053209535,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,unconstrained,0.3,2.6416993932798505e-05,0.042434604053209535,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,selected,0.3,0.0,0.042434604053209535,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,depth,
conversation,global,1.0,3.3374992199242115e-05,0.0,0,0,112010,0.0,0.0,0,0.0,,
conversation,group,1.0,8.541700663045049e-05,0.03360414248727792,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,depth,1.0,8.341699140146375e-05,0.03360414248727792,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,group_depth,1.0,0.0002739169867709279,0.03360414248727792,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,unconstrained,1.0,2.8165988624095917e-05,0.03360414248727792,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,selected,1.0,0.0,0.03360414248727792,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,depth,
conversation,LRU,,,,5181,5181,112010,361247.83999999997,255.33498878569094,256,0.0462547986786894,,256.0
conversation,FIFO,,,,4771,4771,112010,361247.83999999997,255.33498878569094,256,0.04259441121328453,,256.0
conversation,LRU,,,,5552,5552,112010,1440995.389,1018.5155473609126,1024,0.04956700294616552,,1024.0
conversation,FIFO,,,,5287,5392,112010,1440995.389,1018.5155473609126,1024,0.04720114275511115,,1024.0
conversation,LRU,,,,10924,10981,112010,5696558.726,4026.406797118122,4096,0.09752700651727525,,4096.0
conversation,FIFO,,,,10355,10598,112010,5696558.726,4026.406797118122,4096,0.09244710293723775,,4096.0
conversation,LRU,,,,31011,31011,112010,21226728.788,15003.346613895,16384,0.2768592089991965,,16384.0
conversation,FIFO,,,,27975,28934,112010,21226728.788,15003.346613895,16384,0.2497544862065887,,16384.0
conversation,unbounded_reference,,,,38463,38463,112010,54982218.111,38862.19512007213,73542,0.34338898312650656,,
toolagent,global,0.0,5.7375000324100256e-05,0.5712112279634102,90108,90108,157749,44533973.199,31477.23055547938,45184,0.5712112279634102,,
toolagent,group,0.0,9.133398998528719e-05,0.5710971226442006,90090,90090,157749,44517365.199,31465.491790498105,45184,0.5710971226442006,,
toolagent,depth,0.0,8.449997403658926e-05,0.5712112279634102,90108,90108,157749,44533973.199,31477.23055547938,45184,0.5712112279634102,,
toolagent,group_depth,0.0,0.0002648749796207994,0.5709132862965851,90061,90061,157749,44450609.292,31418.307788608367,45100,0.5709132862965851,,
toolagent,unconstrained,0.0,2.766601392067969e-05,0.5709132862965851,90061,90061,157749,44441309.292,31411.734419489516,45100,0.5709132862965851,,
toolagent,selected,0.0,0.0,0.5712112279634102,90108,90108,157749,44533973.199,31477.23055547938,45184,0.5712112279634102,depth,
toolagent,global,0.0001,3.333299537189305e-05,0.5450377546304573,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,,
toolagent,group,0.0001,9.604200022295117e-05,0.5457331250594298,89485,89485,157749,33961452.55,24004.426174562108,30855,0.5672619160818769,,
toolagent,depth,0.0001,8.537498069927096e-05,0.5450377546304573,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,,
toolagent,group_depth,0.0001,0.00027695801691152155,0.5454400723243887,89482,89482,157749,34393740.309,24309.973164397277,31171,0.5672428985286753,,
toolagent,unconstrained,0.0001,3.2458017813041806e-05,0.5454459677658812,89482,89482,157749,34384440.309,24303.399795278427,31171,0.5672428985286753,,
toolagent,selected,0.0001,0.0,0.5454400723243887,89482,89482,157749,34393740.309,24309.973164397277,31171,0.5672428985286753,group_depth,
toolagent,global,0.0003,3.15000070258975e-05,0.49982872959955377,89545,89545,157749,35658392.448,25203.846854353083,32272,0.567642267145909,,
toolagent,group,0.0003,0.00010162501712329686,0.5023786990148907,89343,89343,157749,33644208.697,23780.19381472825,30599,0.5663617518970009,,
toolagent,depth,0.0003,9.391701314598322e-05,0.4999171204476732,89418,89418,157749,35188580.555,24871.777285631124,31845,0.5668371907270411,,
toolagent,group_depth,0.0003,0.0002897089871112257,0.5023625814046365,89190,89190,157749,33142683.82,23425.709068620035,30151,0.565391856683719,,
toolagent,unconstrained,0.0003,4.0834012906998396e-05,0.5023625814046365,89190,89190,157749,33142683.82,23425.709068620035,30151,0.565391856683719,,
toolagent,selected,0.0003,0.0,0.5023625814046365,89190,89190,157749,33142683.82,23425.709068620035,30151,0.565391856683719,group_depth,
toolagent,global,0.001,3.933400148525834e-05,0.41582243404395586,76180,76180,157749,10584426.852,7481.219850500382,8863,0.4829190676327584,,
toolagent,group,0.001,8.837500354275107e-05,0.4194565731636967,76382,76382,157749,10213145.04,7218.79271099596,8721,0.4841995828816664,,
toolagent,depth,0.001,7.616597576998174e-05,0.4169620713538596,77555,77555,157749,11779650.206,8326.02031128649,9793,0.49163544618349403,,
toolagent,group_depth,0.001,0.00027933300589211285,0.4203708573049591,79097,79097,157749,12783917.631,9035.850470271549,10690,0.5014104685291191,,
toolagent,unconstrained,0.001,2.516602398827672e-05,0.415023719136096,77290,77604,157749,11820423.33,8354.839321413436,9722,0.48995556231735227,,
toolagent,selected,0.001,0.0,0.4203708573049591,79097,79097,157749,12783917.631,9035.850470271549,10690,0.5014104685291191,group_depth,
toolagent,global,0.003,3.1333998776972294e-05,0.35096969358918284,58404,58404,157749,1012960.602,715.9746171825324,1811,0.3702337257288477,,
toolagent,group,0.003,9.358298848383129e-05,0.36837126771643564,58609,58609,157749,166266.963,117.51979785688376,264,0.3715332585309574,,
toolagent,depth,0.003,8.445800631307065e-05,0.36064310157275165,58395,58395,157749,501303.79,354.328478747096,733,0.3701766730692429,,
toolagent,group_depth,0.003,0.0002663749910425395,0.3685861089959366,58837,58837,157749,230969.964,163.25277728379342,247,0.3729785925742794,,
toolagent,unconstrained,0.003,2.6833004085347056e-05,0.3685861089959366,58837,58837,157749,230969.964,163.25277728379342,247,0.3729785925742794,,
toolagent,selected,0.003,0.0,0.3685861089959366,58837,58837,157749,230969.964,163.25277728379342,247,0.3729785925742794,group_depth,
toolagent,global,0.01,3.95829847548157e-05,0.30602028526329805,58404,58404,157749,1012960.602,715.9746171825324,1811,0.3702337257288477,,
toolagent,group,0.01,9.579199831932783e-05,0.3651306846953071,58587,58587,157749,98799.962,69.83318485529682,139,0.3713937964741456,,
toolagent,depth,0.01,7.579199154861271e-05,0.3384259937622426,58391,58391,157749,500463.791,353.7347557915623,732,0.3701513163316408,,
toolagent,group_depth,0.01,0.0002715419977903366,0.36486336103556916,58545,58545,157749,98816.966,69.84520351857606,135,0.3711275507293232,,
toolagent,unconstrained,0.01,2.6374997105449438e-05,0.36489125338353967,58541,58541,157749,97976.967,69.25148056304228,135,0.371102193991721,,
toolagent,selected,0.01,0.0,0.36486336103556916,58545,58545,157749,98816.966,69.84520351857606,135,0.3711275507293232,group_depth,
toolagent,global,0.03,3.0415976652875543e-05,0.2184574426462291,44129,44129,157749,322251.896,227.77211415666218,1138,0.27974186841121024,,
toolagent,group,0.03,9.454201790504158e-05,0.35644815840353977,58345,58345,157749,70521.982,49.84591598697087,101,0.3698597138492162,,
toolagent,depth,0.03,8.162501035258174e-05,0.2800874092387273,54645,54645,157749,348716.376,246.47757604681257,577,0.34640473156723656,,
toolagent,group_depth,0.03,0.00026087500737048686,0.3568833434126365,58331,58331,157749,67766.982,47.89864373724731,89,0.36977096526760866,,
toolagent,unconstrained,0.03,3.250001464039087e-05,0.3568833434126365,58331,58331,157749,67766.982,47.89864373724731,89,0.36977096526760866,,
toolagent,selected,0.03,0.0,0.3568833434126365,58331,58331,157749,67766.982,47.89864373724731,89,0.36977096526760866,group_depth,
toolagent,global,0.1,4.1457999031990767e-05,0.07546044919460661,44129,44129,157749,322251.896,227.77211415666218,1138,0.27974186841121024,,
toolagent,group,0.1,7.712500519119203e-05,0.3252191887111804,58343,58343,157749,70399.982,49.759684693153716,101,0.3698470354804151,,
toolagent,depth,0.1,8.358299965038896e-05,0.18834206239025286,46508,46508,157749,167972.28,118.7251395886739,461,0.29482278810008306,,
toolagent,group_depth,0.1,0.00025470901164226234,0.33043005851067203,57937,57937,157749,58119.887,41.079943053419015,72,0.36727332661379786,,
toolagent,unconstrained,0.1,7.233300129882991e-05,0.33049471819155746,57935,57935,157749,57997.887,40.99371175960186,72,0.3672606482449968,,
toolagent,selected,0.1,0.0,0.33043005851067203,57937,57937,157749,58119.887,41.079943053419015,72,0.36727332661379786,group_depth,
toolagent,global,0.3,3.183400258421898e-05,0.0,0,0,157749,0.0,0.0,0,0.0,,
toolagent,group,0.3,0.00010341597953811288,0.24520802223785887,56767,56767,157749,60285.599,42.610698363216954,90,0.3598564808651719,,
toolagent,depth,0.3,8.2874990766868e-05,0.05500700479876259,9970,9970,157749,4309.0,3.0456610250667304,4,0.06320166847333422,,
toolagent,group_depth,0.3,0.00031958302133716643,0.2754396915352871,53256,53256,157749,32685.547,23.102598417471988,42,0.3375996044348934,,
toolagent,unconstrained,0.3,2.8165988624095917e-05,0.2754396915352871,53256,53256,157749,32685.547,23.102598417471988,42,0.3375996044348934,,
toolagent,selected,0.3,0.0,0.2754396915352871,53256,53256,157749,32685.547,23.102598417471988,42,0.3375996044348934,group_depth,
toolagent,global,1.0,2.9291986720636487e-05,0.0,0,0,157749,0.0,0.0,0,0.0,,
toolagent,group,1.0,9.250000584870577e-05,0.0856565176324414,42732,42732,157749,29219.77,20.65293911590023,71,0.2708860278036628,,
