resolution,dataset,grouping,mode,price,train_value,relaxed_bound,train_hits,train_cost,test_utility,validation_utility,prepare_seconds,fit_seconds,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,nodes,certificates,flow_objective,residual
native,conversation,depth,dp,0.0,37889.0,37889.0,37889.0,48245137.809786215,0.3391661458798322,0.2767700077553105,0.7056331250059884,6.716599455103278e-05,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,,,,
native,conversation,depth,cut,0.0001,33120.40855110138,33136.57468470119,37886.0,47655914.488986135,0.2961729075189715,0.24925946020920423,0.7056331250059884,0.0024879160046111792,37983,37983,112010,48086726.288,33988.365764310365,49201,0.3391036514596911,2260.0,2152.0,33120.40855110138,0.0
native,conversation,depth,dp,0.0001,33120.40855110138,33136.57468470119,37886.0,47655914.488986135,0.2961729075189715,0.24925946020920423,0.7056331250059884,7.445798837579787e-05,37983,37983,112010,48086726.288,33988.365764310365,49201,0.3391036514596911,,,,
native,conversation,depth,cut,0.0003,25433.148015322637,25433.14801532264,36815.0,37939506.61559121,0.22618627082135526,0.19565157768816085,0.7056331250059884,0.0025497500027995557,36829,36829,112010,38312919.351,27080.103324173968,35304,0.32880099991072226,2260.0,2152.0,25433.148015322637,0.0
native,conversation,depth,dp,0.0003,25433.14801532264,25433.14801532264,36815.0,37939506.61559121,0.22618627082135526,0.19565157768816085,0.7056331250059884,9.045799379236996e-05,36829,36829,112010,38312919.351,27080.103324173968,35304,0.32880099991072226,,,,
native,conversation,depth,cut,0.001,9815.647316399723,9815.647316399723,21676.0,11860352.683600277,0.10229266382465851,0.0762727748538786,0.7056331250059884,0.003041582996957004,23364,23364,112010,11906198.725,8415.466561483336,10544,0.20858851888224267,2260.0,2152.0,9815.647316399714,9.094947017729282e-12
native,conversation,depth,dp,0.001,9815.647316399723,9815.647316399723,21676.0,11860352.683600277,0.10229266382465851,0.0762727748538786,0.7056331250059884,6.233298336155713e-05,23364,23364,112010,11906198.725,8415.466561483336,10544,0.20858851888224267,,,,
native,conversation,depth,cut,0.003,4386.7556012,4386.7556012,4391.0,1414.7996,0.04618124274618338,0.04617022720789907,0.7056331250059884,0.0022680000110995024,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,2260.0,2152.0,4386.755601200006,6.366462912410498e-12
native,conversation,depth,dp,0.003,4386.7556012,4386.7556012,4391.0,1414.7996,0.04618124274618338,0.04617022720789907,0.7056331250059884,6.941700121387839e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,depth,cut,0.01,4376.852004,4376.852004,4391.0,1414.7996,0.04609293813052406,0.04607672094122987,0.7056331250059884,0.002145332982763648,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,2260.0,2152.0,4376.852004,0.0
native,conversation,depth,dp,0.01,4376.852004,4376.852004,4391.0,1414.7996,0.04609293813052406,0.04607672094122987,0.7056331250059884,6.53750030323863e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,depth,cut,0.03,4348.556012,4348.556012,4391.0,1414.7996,0.0458406392286403,0.045809560179317914,0.7056331250059884,0.0021570409880951047,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,2260.0,2152.0,4348.556012000001,9.094947017729282e-13
native,conversation,depth,dp,0.03,4348.556012,4348.556012,4391.0,1414.7996,0.0458406392286403,0.045809560179317914,0.7056331250059884,7.166599971242249e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,depth,cut,0.1,4249.52004,4249.52004,4391.0,1414.7996,0.044957593072047136,0.044874497512626024,0.7056331250059884,0.002136041992343962,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,2260.0,2152.0,4249.520040000003,2.7284841053187847e-12
native,conversation,depth,dp,0.1,4249.52004,4249.52004,4391.0,1414.7996,0.044957593072047136,0.044874497512626024,0.7056331250059884,6.858300184831023e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,depth,cut,0.3,3966.56012,3966.56012,4391.0,1414.7996,0.042434604053209535,0.042202889893506346,0.7056331250059884,0.002157583017833531,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,2260.0,2152.0,3966.560120000002,1.8189894035458565e-12
native,conversation,depth,dp,0.3,3966.56012,3966.56012,4391.0,1414.7996,0.042434604053209535,0.042202889893506346,0.7056331250059884,6.679099169559777e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,depth,cut,1.0,2976.2003999999997,2976.2003999999997,4391.0,1414.7996,0.03360414248727792,0.03285226322658748,0.7056331250059884,0.0021176250011194497,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,2260.0,2152.0,2976.2004000000015,1.8189894035458565e-12
native,conversation,depth,dp,1.0,2976.2003999999997,2976.2003999999997,4391.0,1414.7996,0.03360414248727792,0.03285226322658748,0.7056331250059884,6.19160127826035e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group_depth,cut,0.0,37889.0,37889.0,37889.0,48151878.0201863,0.3387465404874565,0.27673217697240243,0.6911600409948733,0.004493083979468793,37943,37943,112010,48424651.886,34227.21626865034,49655,0.3387465404874565,4694.0,3818.0,37889.0,0.0
native,conversation,group_depth,dp,0.0,37889.0,37889.0,37889.0,48151878.0201863,0.3387465404874565,0.27673217697240243,0.6911600409948733,0.00025866602663882077,37943,37943,112010,48433951.886,34233.789637769194,49655,0.3387465404874565,,,,
native,conversation,group_depth,cut,0.0001,33128.23309068137,33144.39454452117,37886.0,47577669.093186244,0.2957795363887153,0.24922192110049748,0.6911600409948733,0.004811291000805795,37936,37936,112010,48057341.291,33967.5960404569,49198,0.3386840460673154,4694.0,3818.0,33128.23309068137,0.0
native,conversation,group_depth,dp,0.0001,33128.23309068137,33144.39454452117,37886.0,47577669.093186244,0.29577123355861085,0.24922192110049748,0.6911600409948733,0.0002631249953992665,37936,37936,112010,48066641.291,33974.16940957575,49198,0.3386840460673154,,,,
native,conversation,group_depth,cut,0.0003,25460.576568842574,25460.576568842567,36831.0,37901411.43719143,0.22596102306758326,0.19561429166285207,0.6911600409948733,0.004740042000776157,36799,36799,112010,38297019.354,27068.86498554283,35301,0.3285331666815463,4694.0,3818.0,25460.576568842567,7.275957614183426e-12
native,conversation,group_depth,dp,0.0003,25460.576568842567,25460.576568842567,36831.0,37901411.43719143,0.22596102306758326,0.19561429166285207,0.6911600409948733,0.00025966702378354967,36799,36799,112010,38297019.354,27068.86498554283,35301,0.3285331666815463,,,,
native,conversation,group_depth,cut,0.001,10513.275203199766,10660.971342199764,20623.0,10109724.796800233,0.10364674758503706,0.08832336174172924,0.6911600409948733,0.0045081659918650985,22174,22174,112010,10564527.803,7467.154926393816,9089,0.19796446745826266,4694.0,3818.0,10513.27520319977,3.637978807091713e-12
native,conversation,group_depth,dp,0.001,10513.275203199768,10660.971342199764,20623.0,10109724.796800233,0.10364674758503706,0.08832336174172924,0.6911600409948733,0.0002623750187922269,22174,22174,112010,10564527.803,7467.154926393816,9089,0.19796446745826266,,,,
