dataset,price,comparator,selected,difference,bootstrap_low,bootstrap_high,buckets,selected_hit,baseline_hit,selected_mean,baseline_mean
conversation,0.0,global,depth,0.0,0.0,0.0,24,0.3391661458798322,0.3391661458798322,34247.98599250381,34247.98599250381
conversation,0.0,group,depth,0.00016069993750557986,0.0,0.000495884162047117,24,0.3391661458798322,0.33900544594232657,34247.98599250381,34236.24722752251
conversation,0.0001,global,depth,-0.0008584574886170843,-0.0050420349104968246,0.003621156743257278,24,0.3391036514596911,0.3317560932059638,33988.36576431036,27491.64479195498
conversation,0.0001,group,depth,-0.0007104421328452912,-0.004788441556056344,0.0036912482007789836,24,0.3391036514596911,0.33159539326845816,33988.36576431036,27481.60238029469
conversation,0.0003,global,depth,-0.0013956377894830724,-0.004285402768046987,0.0007445530215645928,24,0.32880099991072226,0.3317560932059638,27080.103324173957,27491.64479195498
conversation,0.0003,group,depth,-0.0012729915971788535,-0.004210972934463594,0.0009284156107608586,24,0.32880099991072226,0.33159539326845816,27080.103324173957,27481.60238029469
conversation,0.001,global,group_depth,0.001539667681457106,-0.006000196759269477,0.008928331492259847,24,0.19796446745826266,0.20406213730916883,7467.154926393813,8071.804642862499
conversation,0.001,group,group_depth,-0.0019843404160343387,-0.008271009475265068,0.0036071241487131912,24,0.19796446745826266,0.20911525756628874,7467.154926393813,8192.864793713534
conversation,0.003,global,group_depth,0.019614494580840993,0.014335888276533263,0.025014218019811574,24,0.05472725649495581,0.035818230515132575,208.65560182516307,227.27297067372638
conversation,0.003,group,group_depth,0.0003537719578609064,-0.002315833245047493,0.003931738039569689,24,0.05472725649495581,0.052566735112936344,208.65560182516307,160.97535014852988
conversation,0.01,global,group_depth,0.037570817159182195,0.03481231250135937,0.040323996859863126,24,0.04966520846353004,0.035818230515132575,39.45080631914231,227.27297067372638
conversation,0.01,group,group_depth,-0.001085974823676458,-0.002719618057171981,0.0006405750909264354,24,0.04966520846353004,0.04834389786626194,39.45080631914231,20.39227393052698
conversation,0.03,global,depth,0.0458406392286403,0.0444439770113976,0.04720794322411564,24,0.046219087581465944,0.0,0.9987280177348087,0.0
conversation,0.03,group,depth,0.0,0.0,0.0,24,0.046219087581465944,0.046219087581465944,0.9987280177348087,0.9987280177348087
conversation,0.1,global,depth,0.044957593072047136,0.04358730450959584,0.04629452651682975,24,0.046219087581465944,0.0,0.9987280177348087,0.0
conversation,0.1,group,depth,0.0,0.0,0.0,24,0.046219087581465944,0.046219087581465944,0.9987280177348087,0.9987280177348087
conversation,0.3,global,depth,0.042434604053209535,0.041128744733305043,0.04369767543032835,24,0.046219087581465944,0.0,0.9987280177348087,0.0
conversation,0.3,group,depth,0.0,0.0,0.0,24,0.046219087581465944,0.046219087581465944,0.9987280177348087,0.9987280177348087
conversation,1.0,global,depth,0.03360414248727792,0.032508117426327136,0.034679279037330146,24,0.046219087581465944,0.0,0.9987280177348087,0.0
conversation,1.0,group,depth,0.0,0.0,0.0,24,0.046219087581465944,0.046219087581465944,0.9987280177348087,0.9987280177348087
toolagent,0.0,global,depth,0.0,0.0,0.0,24,0.5712112279634102,0.5712112279634102,31477.23055547935,31477.23055547935
toolagent,0.0,group,depth,0.0001141053192096305,0.0,0.00035030024476859944,24,0.5712112279634102,0.5710971226442006,31477.23055547935,31465.49179049811
toolagent,0.0001,global,group_depth,0.00040231769393151676,0.00013639031413920826,0.0006227496168321452,24,0.5672428985286753,0.567642267145909,24309.973164397274,25203.8468543531
